7	5	6	8	6	8	8	7	7	7	8	7	6	8
1	6	6	8	8	7	7	8	6	8	7	6	7	8
5	4	9	6	6	8	7	8	6	7	8	7	7	8
5	7	7	8	4	7	6	7	7	8	8	7	7	7
1	6	7	7	7	4	6	7	7	7	7	7	8	8
4	5	6	5	6	6	7	8	7	7	5	8	7	7
4	8	4	5	6	6	6	8	7	7	7	7	8	8
3	3	5	6	7	7	7	6	5	7	7	7	8	8
1	4	8	5	7	7	8	8	8	6	6	9	8	8
4	6	7	7	6	6	6	7	6	7	8	7	7	8
1	6	2	5	7	6	8	8	8	7	7	7	8	8
5	5	5	5	6	7	9	6	6	7	7	8	7	7
6	5	6	7	8	6	5	7	8	7	7	7	8	8
3	5	6	6	8	6	8	6	6	6	8	8	8	7
4	7	6	6	7	7	8	8	8	7	7	8	7	8
4	7	6	4	7	8	4	6	8	7	7	7	7	8
1	6	5	6	5	7	7	7	7	7	6	8	8	8
1	6	5	6	6	8	5	7	8	8	7	7	7	7
5	4	6	7	6	7	7	7	7	8	7	7	8	7
4	4	7	6	6	6	6	4	6	7	8	7	8	8
1	5	6	5	6	7	7	7	7	7	7	8	7	8
1	3	7	7	6	8	8	5	7	7	7	8	7	7
