"Invader"	"Resident"	"N"	"F"	"RY"
"Grevy's zebra"	"Grant's gazelle"	0.764575271818371	0.418277787030538	1.43451105983244
"Plains zebra"	"Grant's gazelle"	0.885077599423184	0.548877152410186	1.46804196343273
"Waterbuck"	"Grant's gazelle"	0.760203284274608	0.0528947129574589	0.880603097235437
"Dik-dik"	"Grant's gazelle"	0.359890268863759	0.186265624633267	1.27536493429094
"Grant's gazelle"	"Grant's gazelle"	0	0	0
"Oryx"	"Grant's gazelle"	0.344682789106719	0.081037732247867	1.26749403272221
"Klipspringer"	"Grant's gazelle"	0.725198669018122	0.426019947367237	1.44280111639249
"Buffalo"	"Grant's gazelle"	0.757039552837222	0.257364030703944	1.47248269226497
"Eland"	"Grant's gazelle"	0.570261950293231	0.0736956266984953	1.21431717285092
"Kudu"	"Grant's gazelle"	0.550506842181832	0.379562821169757	1.4012923935915
"Impala"	"Oryx"	0.349576959961511	0.123607321349309	-0.518703550792349
"Hartebeest"	"Oryx"	0.694816485001202	0.456446256311008	-0.468669353112248
"Grevy's zebra"	"Oryx"	0.497235344185623	0.366979218426009	-0.319474817348055
"Plains zebra"	"Oryx"	0.598247729899981	0.509095353073307	-0.515656190444435
"Waterbuck"	"Oryx"	0.666329875024555	-0.0306247821896414	-0.25355553468189
"Dik-dik"	"Oryx"	0.533519823081683	0.114507304682702	-0.42961487747761
"Grant's gazelle"	"Oryx"	0.344682789106719	-0.0881839604210224	0.231044428601454
"Oryx"	"Oryx"	0	0	0
"Klipspringer"	"Oryx"	0.58857431756335	0.375404113123414	-0.465442123973479
"Buffalo"	"Oryx"	0.566108866086942	0.191875449780313	-0.531457802201977
"Eland"	"Oryx"	0.407394008663184	-0.00798956149454437	0.179046551817904
"Kudu"	"Oryx"	0.71569538128934	0.32485021354806	-0.435709756672187
"Impala"	"Klipspringer"	0.595316364522009	-0.403135526609474	-0.0366429081841701
"Hartebeest"	"Klipspringer"	0.907295937237438	0.129751323840542	0.0499856779583228
"Grevy's zebra"	"Klipspringer"	0.991304291528391	-0.0134885529578725	0.0279419737820382
"Plains zebra"	"Klipspringer"	0.973942542086777	0.214044380949164	0.0608626779694562
"Waterbuck"	"Klipspringer"	0.795842742426611	-0.650066553181261	-0.024659008322454
"Dik-dik"	"Klipspringer"	0.522275258349742	-0.417704973603616	-0.0716460810376535
"Grant's gazelle"	"Klipspringer"	0.725198669018122	-0.742220823551526	-0.292820767767938
"Oryx"	"Klipspringer"	0.58857431756335	-0.601035198935899	-0.00176126171335516
"Klipspringer"	"Klipspringer"	0	0	0
"Buffalo"	"Klipspringer"	0.812752454116941	-0.293835850025961	0.0721440769526136
"Eland"	"Klipspringer"	0.368287715684882	-0.613826768112728	0.550198279549474
"Kudu"	"Klipspringer"	0.766057196864148	-0.0809385726636125	0.0680332948914592
"Impala"	"Buffalo"	0.648328331391838	-0.0844772361048121	0.162756356437876
"Hartebeest"	"Buffalo"	0.438097880941156	0.327388651240421	0.292865296649961
"Grevy's zebra"	"Buffalo"	0.380834369729236	0.216679184660452	0.417916695343748
"Plains zebra"	"Buffalo"	0.260851268420265	0.392538381870416	0.207771215284021
"Waterbuck"	"Buffalo"	0.659704824481498	-0.275329133249903	0.476259029405338
"Dik-dik"	"Buffalo"	0.841657434395609	-0.0957378971800555	0.320914469792626
"Grant's gazelle"	"Buffalo"	0.757039552837222	-0.346554760804138	0.451161911333524
"Oryx"	"Buffalo"	0.566108866086943	-0.237433016641001	0.409853933864139
